"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.97338348471491","","","","","","","","","","1.72594204776273","","","","","","","","","","","","","","","","","","","","1.01187679426614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","0.170626997947693","","","","","","","","","","0.199000000953674","","","","","","","","","","","0.275599986314774","","","","","","0.3091000020504","","","0.2497999966","","","","","","","","","","","","","","","","","","","","","0.45","0.46","0.46","0.46","0.44","0.45","0.42","0.4","0.38","0.33","0.36","0.36","0.35","","",
"Africa Western and Central","AFW","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","0.786552156401981","","","","","","","","","","0.973676641757519","","","","","0.842452653067185","","","","","","","","","","","","","","","1.46872682378765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","2.06146168708801","","","","","","","","","","2.72099995613098","","","","","","","","","","","","","","","","","","","","1.2913000584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","","","","",
"Albania","ALB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","5.1026759147644","","","","","","","","","","","","","","","","","","","","4.27169990539551","4.18709993362427","4.16069984436035","4.08620023727417","4.13899993896484","4.13880014419556","4.06969976425171","3.97000002861023","3.93549990653992","4.13210010528564","4.0248999596","3.9986999035","4.0134000778","3.8313999176","3.0171000957","3.1900000572","3.1400001049","3.0499999523","3.0499999523","3.0299999714","3.21","3.17","3.09","3.05","3.04","3.02","3.06","3.04","3.04","2.97","2.97","2.88","2.87","2.88","2.86","2.84","2.82","2.82","2.83","2.84","2.9","","","","","",
"Andorra","AND","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1800000668","3","3.0899999142","3.2000000477","3.21","2.6","3.68","3.35","2.77","2.66","2.59","2.63","2.56","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.94566668610608","","","","","","","","","","1.91429251284146","","","","","1.56764887821478","","","","","","1.70845042080801","","","","","","","","","1.76513233738466","","","","","","","","","","1.58478722647011","1.56079860734552","1.63254413093508","1.64351517643151","1.61777022331298","1.60481060921263","1.60623236503705","1.62234018257566","1.48712457686899","1.43238069946911","1.39418363511044","1.40342721408678","1.39678889933653","1.36424891748766","1.38420315720741","1.46530433523141","1.44217893566776","1.34439612706574","1.29099014015772","1.30779661961946","1.3530049526272","1.21410737535298","","","","",
"United Arab Emirates","ARE","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","2.84949994087219","2.87509989738464","","","","","","","","","2.6400001049","","3.0604999065","","","","2.6400001049","","","","1.97","1.98","1.95","1.95","1.76","1.31","","1.48","1.4","1.37","1.27","1.26","1.29","1.25","1.29","1.43","1.39","1.46","1.6","1.83","1.91","1.88","1.87","","","",
"Argentina","ARG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","6.35225057601929","","","","","","","","","","5.58580017089844","","","","","","","","","","","","","","","","","","","","4.5942997932","","","4.5999999046","","","3.2899999619","","","","","","","","","","","","","","","4.38","4.58","4.77","4.84","4.95","4.94","4.99","3.69","3.69","3.19","3.34","3.36","","","",
